mean_spectral_centroid,std_spectral_centroid,mean_spectral_bandwidth,std_spectral_bandwidth,mean_spectral_contrast,mean_spectral_flatness,mean_spectral_rolloff,zero_crossing_rate,rms_energy,mean_pitch,min_pitch,max_pitch,std_pitch,spectral_skew,spectral_kurtosis,energy_entropy,log_energy,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,label
2247.3317386694885,1158.5377479627396,1870.4154617213685,370.40524126981836,21.44070973910965,0.036878686,4419.438073394495,0.16924096903669725,0.08255184,1592.1033,153.94862,3993.3342,1158.9537,1.2403627717078185,0.5703915833847502,28.976524,2.197019,-246.962,103.95492,49.470943,38.245247,4.922163,31.923918,32.507935,29.816553,-11.243851,20.791132,1.689259,16.68878,-19.95585,20.046402,5.746707,9.8312235,-22.768066,21.73624,2.3030853,8.983318,-17.410305,9.115154,0.30180356,10.452693,-3.0808318,10.146248,0
1790.7198885341024,996.5548248590285,1757.8986167468183,410.7103177834014,21.513383444311525,0.018935613,3635.7421875,0.10806783040364583,0.055476625,1112.6351,153.03429,3993.416,981.91943,1.9906185747615328,3.6308278533384417,20.490534,1.6725547,-257.23755,90.96665,88.37191,40.398624,9.467071,36.468452,27.370947,27.258125,-13.399975,17.085749,3.2334182,18.777796,-9.883782,14.713917,-14.292689,17.476458,-5.951458,13.937135,-0.9539423,10.831742,-0.08877484,10.29769,-7.2811418,10.926579,-0.450248,8.489134,0
1977.9233634651953,1010.1486667795253,1747.0995546714869,461.4583789847496,20.476282729226075,0.03261628,3873.291015625,0.14463297526041666,0.060388464,1557.5225,153.51328,3994.7842,1118.8268,1.365870049717452,1.3991703995936247,20.78415,1.757391,-273.8713,112.95775,71.86796,48.722652,-1.3287,31.432747,26.635605,28.831856,-10.213086,25.51739,2.8396924,20.143091,-15.503926,19.954529,-5.1436534,15.965513,-6.9237123,14.900779,0.26009753,14.031009,-0.42066953,10.810292,-0.19982924,11.986182,3.3729858,9.285437,0
2037.7655496871362,1311.4406297606188,1745.2248519221325,419.05648424257623,19.516014491022776,0.028481863,3826.5845070422533,0.14893265845070422,0.029559094,1481.0868,152.61766,3992.5742,1137.6062,1.4939286388684039,1.4946199560639242,18.638985,1.4344633,-353.47635,142.3892,68.507675,56.540092,8.056022,35.926292,23.888018,29.352741,-0.43869013,23.34374,11.840884,19.982933,1.4032469,17.764975,-7.7924976,21.74722,-0.09932827,15.957924,-1.4861215,14.461978,-8.479608,12.550333,3.997028,9.912608,-6.9469657,10.574301,0
1739.383828758086,1092.6233220620402,1623.135562515331,450.0884650659652,20.26062039472659,0.025737492,3452.903891509434,0.11796137971698113,0.06907788,1424.5352,152.78654,3989.3801,1114.6473,1.8117669892240997,2.497320457049052,24.868546,1.9909184,-284.60983,106.86164,81.4506,49.315365,7.4268665,29.889421,39.914925,31.573534,-10.35027,28.853691,1.3126466,18.612854,-23.08466,22.588026,-8.609181,15.015117,-14.37254,15.105562,-3.3663645,13.943447,-6.561539,11.944948,1.4106389,13.110976,-3.2522578,9.866687,0
2012.0221714228742,1248.922878779768,1725.005365020749,459.77469612224354,21.44228520970404,0.022706028,3853.348214285714,0.1601841517857143,0.096510395,1366.1226,153.61813,3983.3804,1106.1388,1.7260545784611983,2.0384162265302326,30.672958,2.3158557,-234.25093,102.9824,72.26593,46.40795,-0.12224147,39.721207,14.874734,30.0427,-16.603329,24.812761,3.989972,22.96205,-21.477928,20.08552,-3.5676255,14.8303585,-2.7794423,15.897743,2.076858,11.353393,-16.016607,11.290726,6.6952467,9.033471,-10.493073,9.583606,0
1954.6628129052972,1423.3988435501155,1635.91276993374,536.8977178426579,22.25461865912391,0.03862881,3598.5317887931033,0.15530711206896552,0.10647138,1613.4988,153.2783,3992.2527,1199.557,1.3157413099512438,0.44980296999249836,35.473015,2.5137112,-265.411,98.21933,71.31616,57.53151,1.4842237,44.025784,24.840918,31.451517,-11.910929,24.8191,5.0114803,16.58252,-5.586834,14.309655,-5.8833494,14.910052,0.19787623,13.886998,-4.6990085,10.980406,-9.244686,9.068125,-2.2374134,9.636229,-6.018993,6.6914415,0
2040.8930623082892,1045.0424073356824,1734.7954782436807,417.9462811980693,21.315588205767476,0.02170381,3940.2204241071427,0.16356113978794642,0.09055693,1434.5769,156.73898,3992.378,1071.4843,1.7928922976399644,2.8071865736423076,31.339764,2.3167224,-231.38943,114.50118,63.955757,41.804497,-6.9674582,42.210323,33.921333,30.053734,-18.0695,25.101015,3.3119736,18.888767,-19.468767,21.225538,2.046829,11.835043,-19.830511,18.813774,-1.3717965,9.955287,-10.787422,10.635902,-6.9563956,10.425631,-5.377687,10.380147,0
1962.4509357098593,1252.7970048873167,1743.7589587585592,411.9756116990055,22.054666206008612,0.027333835,3635.7758620689656,0.12371615705818965,0.06945612,1357.1239,154.55809,3979.7537,1148.9149,1.3732165302323645,1.0643613984962386,28.87065,2.0865302,-237.64226,91.90164,77.00608,47.26519,13.381133,32.451218,24.634108,25.204174,-8.790596,20.018896,3.3410907,14.465431,-14.909548,12.609075,-9.434593,12.262663,-8.969586,11.491894,1.4833374,9.879782,-5.9482436,8.382552,-4.5993843,9.419983,-1.6817783,7.2008395,0
1770.9404640059006,1060.2612789870254,1600.5065404815673,427.9150740332869,20.25929999083531,0.023367021,3316.8323863636365,0.11954012784090909,0.07165621,1425.5721,154.45639,3993.2803,1157.1862,1.7897947069542035,2.6651808195593203,27.195408,2.064605,-242.10953,108.46455,90.74729,51.74598,-4.0186687,34.768967,30.215322,29.62948,-11.902192,22.47569,4.70224,16.995886,-12.4004965,21.96606,-8.666353,17.28813,-6.8210707,16.276545,-0.5795686,12.291101,-2.049367,9.955047,0.94334674,12.844896,3.8882103,10.300386,0
